"book","quote"
"begaudeau2007murs","Sous le planisphère où l'URSS régnait en rouge, Mohamed et Kévin se disputaient la place à côté de Fouad."
"begaudeau2007murs","- Voilà, j'vous le disais. Si une bombe rayait l'Autriche de la carte, personne s'en rendrait compte."
"begaudeau2018guerre","Nuit et jour, il suit sa progression figurée par des pointillés sur la mappemonde qui nappe en permanance la table du salon."
"begaudeau2018guerre","Il ne ressent pas de plaisir particulier à rayer une usine de la carte, ou s'il en ressent c'est égal."
"begaudeau2018guerre","Sur une carte de la ville, les traits noirs et rouges figurant leurs déplacements réguliers respectifs ne fusionnent qu'au niveau du tronçon supérieur de la rue de la Résistance, bordée en amont par le magasin H&M, en aval par une agence de la SOciété générale."
"borges1935histoire","... En cet empire, l’Art de la Cartographie fut poussé à une telle Perfection que la Carte d’une seule Province occupait toute une Ville et la Carte de l’Empire toute une Province. Avec le temps, ces Cartes Démesurées cessèrent de donner satisfaction et les Collèges de Cartographes levèrent une Carte de l’Empire, qui avait le Format de l’Empire et qui coïncidait avec lui, point par point. Moins passionnées pour l’Étude de la Cartographie, les Générations Suivantes réfléchirent que cette Carte Dilatée était inutile et, non sans impiété, elles l’abandonnèrent à l’Inclémence du Soleil et des Hivers. Dans les Déserts de l’Ouest, subsistent des Ruines très abîmées de la Carte. Des Animaux et des Mendiants les habitent. Dans tout le Pays, il n’y a plus d’autre trace des Disciplines Géographiques.<br/>Suarez Miranda, Viajes de Varones Prudentes,Lib. IV, Cap. XIV, Lerida, 1658"
"bouffler1805oeuvres","L'erreur est à la réalité ce qu'un tableau de paysage est à la carte topographique."
"bouffler1805oeuvres","Dans la carte, rien n'est à sa place apparente ; dans le paysage, rien n'est à sa place réelle ; mais l'un plait, et l'autre ne fait qu'instruire."
"bradbury1954chroniques","Timothy regarda le dernier papier que papa jeta dans le feu. C’était une carte du Monde. Elle se tordit, se recroquevilla sous les flammes, et pffft, s’évanouit comme un papillon noir. Timothy détourna la tête."
"breton1976amour","La vie est lente et l'homme ne sait guère la jouer. Les possibilités d'atteindre l'être susceptible de l'aider à la jouer, de lui donner tout son sens, se perdent dans la carte des astres."
"bussi2014main","Aja observe quelques instants la carte se colorer. Jaune. Orange. Rouge. Il faudra plusieurs heures pour la peindre ... soudain, elle saisit un jeu de marqueurs."
"bussi2014main","Personne ne doit s'apercevoir que tu es une petite fille. Donc, tu lui montres la liste et tu te contentes de vérifier s'il y a tout. Une carte au 1/25000."
"bussi2014main","Jipé réfléchit comme s'il fasait défiler mentalement la carte de l'île devant ses yeux."
"bussi2015sable","Avec sur une grande table, une grande carte de Normandie, et en tout petit sur la carte, le village de Deux-Jumeaux. Un petit point noir."
"bussi2016temps","J'ai...j'ai placé un mouchard dans son téléphone... Un Spytic ... Un logiciel espion qui permet de la suivre, de localiser en permanence ses coordonnées géographiques."
"calvino1957baron","La Générale ne savait s’occuper qu’à ces travaux traditionnellement féminins : mais sa passion guerrière s’y donnait libre cours. Guipures et broderies représentaient habituellement des cartes géographiques : tendues sur des coussins ou sur des tapisseries, elles étaient piquetées d’épingles et de petits drapeaux reproduisant les batailles de la Succession d’Autriche, que notre mère connaissait par cœur."
"calvino1973villes","Le Grand Khan possède un atlas où toutes les villes de l’empire et des royaumes limitrophes sont dessinées palais par palais et rue par rue, avec les murs, les fleuves, les ponts, les ports, les écueils. Il sait qu’il est inutile d’attendre des récits de Marco Polo des nouvelles de ces endroits, que du reste il connaît bien : comment à Cambaluc, capitale de la Chine, trois villes carrées se tiennent l’une dans l’autre, avec dans chacune quatre temples et quatre portes qu’on ouvre selon les saisons ; comment dans l’île de Java le rhinocéros à la corne meurtrière charge et sévit ; comment on pêche des perles au fond de la mer sur les côtes de Malabar."
"calvino1973villes","Le Grand Khan possède un atlas dont les dessins représentent le globe terraqué dans son ensemble et continent par continent, les confins des plus lointains royaumes, les routes maritimes, le contour des côtes, les plans des métropoles les plus illustres et des ports les plus opulents. Il en feuillette les planches sous les yeux de Marco Polo pour mettre à l’épreuve ses connaissances. Dans la ville qui couronne sur trois rives un long détroit, un golfe mince et une mer intérieure, le voyageur reconnaît Constantinople ; il se rappelle que sur deux collines de hauteur inégale et qui se font face Jérusalem est bâtie ; il n’hésite pas à désigner Samarcande et ses jardins."
"calvino1973villes","— Il me semble que tu reconnais mieux les villes sur l’atlas qu’en les visitant en personne, dit à Marco l’empereur, refermant le livre tout à coup.<br./>Et Polo :<br/>— En voyageant on s’aperçoit que les différences se perdent : chaque ville en arrive à ressembler à toutes les villes, les lieux les plus divers échangent forme, ordre, distances ; une informe poussière envahit les continents. Ton atlas garde intactes les différences : cet assortiment de qualités qui sont comme les lettres d’un nom."
"calvino1973villes","L’atlas a cette qualité : il révèle la forme des villes qui n’ont pas encore de forme ni de nom. Il y a la ville qui a la forme d’Amsterdam, demi-cercle tourné vers le septentrion, avec ses canaux concentriques : celui des Princes, celui de l’Empereur, celui des Seigneurs ; il y a la ville qui a la forme de York, resserrée entre de hautes bruyères, fermée de murs, hérissée de tours ; il y a la ville qui a la forme de la Nouvelle-Amsterdam dite également Nouvelle-York, écrasée de tours en verre et en acier sur une île oblongue entre deux fleuves, avec des rues comme de profonds canaux tous rectilignes, sauf Broadway."
"calvino1973villes","Le catalogue des formes est infini : aussi longtemps que chaque forme n’aura pas trouvé sa ville, de nouvelles villes continueront de naître. Là où les formes épuisent leurs variations et se défont, commence la fin des villes. Sur les dernières planches de l’atlas, se diluent des réticules sans commencement ni fin, des villes qui ont la forme de Los Angeles, la forme de Kyoto-Osaka, qui n’ont pas de forme."
"caroll1869alice","Ensuite, elle examina les parois du puits, et remarque qu'elles étaient garnies de placards et d'étagères ; par endroit, des cartes de géographie et des tableaux se trouvaient accrochées à des pitons."
"caroll1876snark","Il avait, de la mer, acheté une carte ne figurant le moindre vestige de terre ; Et les marins, ravis, trouvèrent que c’était une carte qu’enfin ils pouvaient tous comprendre. De ce vieux Mercator à quoi bon Pôles Nord, Tropiques, Equateurs, Zones et Méridiens ? Tonnait l’Homme à la Cloche ; et chacun de répondre : Ce sont conventions qui ne riment à rien! Quels rébus que ces cartes, avec tous ces caps Et ces îles ! Remercions le Capitaine De nous avoir, à nous, acheté la meilleure – Qui est parfaitement et absolument vierge !"
"celine1932voyage","Je ne lui avais rien fait, moi, à ce Pinçon ! À lui, pas plus d’ailleurs qu’aux Allemands !... Avec sa tête de pêche pourrie, ses quatre galons qui lui scintillaient partout de sa tête au nombril, ses moustaches rêches et ses genoux aigus, et ses jumelles qui lui pendaient au cou comme une cloche de vache, et sa carte au 1/1000, donc ? Je me demandais quelle rage d’envoyer crever les autres le possédait celui-là ? Les autres qui n’avaient pas de carte."
"celine1932voyage","Pour ce qui concerne la géographie le lieutenant Grappa n’estimait guère qu’à l’aide de quelques cartes très approximatives qu’il possédait au Poste, les vastes territoires confiés à sa garde. Il n’avait pas non plus très envie d’en savoir davantage sur leur compte à ces territoires. Les arbres, la forêt, après tout, on sait ce que c’est, on les voit très bien de loin."
"cervantes1605quichotte","Les courtisans, en effet, n’ont que faire de quitter leurs appartements ni de franchir le seuil du palais ; ils se promènent par le monde entier en regardant une carte géographique, sans dépenser une obole, sans souffrir le froid et le chaud, la soif et la faim. Mais nous, chevaliers errants et véritables, c’est au soleil, au froid, à l’air, sous toutes les inclémences du ciel, de nuit et de jour, à pied et à cheval, que nous mesurons la terre entière avec le propre compas de nos pieds."
"chalandon2008mon","Sur la carte de la ville, les traits noirs et rouge figurant leurs déplacements réguliers respectifs ne fusionnent qu'au niveau du tronçon supérieur de la rue de la Resistance."
"char1944hypnos","Mettre en route l’intelligence sans le secours des cartes d’état-major."
"clarke1968odyssee","— L’année dernière, nous nous sommes livrés à une exploration magnétique de cette région à partir d’un satellite placé sur orbite basse. Nous l’avons achevée le mois dernier et en voici le résultat : cette carte, par quoi tout a commencé.
Une seconde image apparut. Elle évoquait une carte de niveaux bien qu’il s’agît uniquement d’une représentation de divers champs magnétiques. Les lignes étaient en général rigoureusement parallèles et bien délimitées mais, dans un angle, elles se rapprochaient brusquement pour former des cercles concentriques. Cela ressemblait à un nœud dans une planche. Même pour un œil non exercé, il apparaissait évident que le champ magnétique était, dans cette région, d’une nature particulière."
"claudel2007rapport","J'ai peur que mes cartes ne soient imprécises."
"claudel2007rapport","Les yeux fermés, il pourrait dessiner chaque fôret, chaque roche, chaque crête, chaque ruisseau et les placer sans faillir sur une carte."
"claudel2007rapport","Je venais d'un pays qui n'existait pas dans leur esprit, un pays qu'auncune carte n'avais jamais mentionné."
"cline2013player","Sur la carte, les campus scolaires apparaissaient comme des milliers de rectangles, numérotés à l’identique, qui ponctuaient la surface de la planète. Ils étaient séparés par des champs vallonnés, des fleuves, des chaînes de montagnes et des forêts de toutes les formes et tailles possibles. La plupart bordaient l’une des écoles. J’ai affiché le module du Tombeau des horreurs à côté de la carte. Une illustration rudimentaire de la colline où était dissimulé le tombeau figurait en tête du fascicule. J’ai effectué une capture d’écran de cette illustration, puis je l’ai rangée dans un coin de mon champ visuel."
"damasio2019furtifs","Un furtif… Qu’est-ce qu’aurait fait un furtif en pareil cas ? Je me suis isolée sur la table à coussin d’air, dans le carré des jeux vintage et j’y ai étalé la carte au soleil. La première chose qui m’a sauté aux yeux, c’était que toutes les voies avaient un nom de baptême, qu’elles fussent rouges, grises ou bleues. Un nom griffonné avec une fine écriture de plume qui suivait le fil de chaque ligne ou courbe. Si tu faisais abstraction de l’enjeu, la carte ressemblait à un phare à éclats, tout en traits et phrases, elle sonnait (sur le papier) comme le récitatif d’un oratorio qui se serait chanté (dans les faits) avec des courses, des bonds et des vols de proche en proche à travers la ville. Plutôt que de chercher tout de suite les meilleures voies, je me suis laissée porter par ces noms."
"desnos1922rrose","Amoureux voyageur sur la carte du tendre, pourquoi nourrir vos nuits d'une tarte de cendre ?"
"despentes2006king","a dichotomie mère-putain est tracée à la règle sur le corps des femmes, façon carte d'Afrique : ne tenant aucunement compte des réalités du terrain, mais uniquement des intérêts des occupants."
"despentes2017vernon","Il sait que si on étudiait la care de son cerveau, on découvrirait des zones neuronales sinistrées, comme après un traumatisme crânien particulièrement violent. "
"despentes2017vernon","Il regarde dans la rue les touristes se déplacer avec leurs cartes routières."
"despentes2017vernon","Eux ils faisaient la guerre sur carte d'état major toi tu buvais de la bière pour suppporter la mort."
"despentes2017vernon","En étendant le linge, elle allume la radio. Ils parlent du chaliter qui a fait naufrage sur les côtes libyennes dans la nuit du 18 au 19 avril. Ils disent huit cent morts. Vingt-huit rescapés. Ils disent Syrie Erythrée Somalie Libye. Une cartographie de la terreur."
"deville2018taba","Ouvrir une carte Michelin détaillée à couverture jaune, déplier son accordéon sur la table d'un café suffit à l'ivresse. A sa lecture on voit tous ces villages, ces petites routes secondaires, les plus belles du monde selon Fernand Braudel, qui suivent les sinuosités et parlent le langage précis du relief, ces virages surlignés du vert émeraude des panoramas, le vert pomme des forêts, le bleu des lacs."
"dick1970maitre","— Et après avoir vaincu Rommel, les Britanniques auraient pu envoyer toute leur armée à travers la Turquie à la rencontre des restes des armées russes et stabiliser la situation. Dans le livre, ils arrêtent l’avance allemande vers l’est près d’une ville russe sur la Volga. Je n’ai jamais entendu parler de cette ville, mais elle existe vraiment, j’ai regardé dans l’atlas. — Et comment s’appelle-t-elle ? — Stalingrad. C’est là que les Britanniques renversent la situation."
"dickens1861esp","Je dînai à l’endroit qu’Herbert et moi nous appelions la gargote géographique, où il y avait une mappemonde sur les rebords des pots à bière et sur chaque demi-mètre de la nappe, et des cartes tracées avec le jus sur chaque couteau, — aujourd’hui, c’est à peine s’il y a une seule gargote dans le domaine du Lord Maire qui ne soit pas géographique, — et je passai le temps à faire des boulettes de mie de pain, à regarder les becs de gaz, et à cuire dans la chaude atmosphère des dîners."
"doyle1902chien","— Après votre départ, j’ai envoyé chercher à Stamford la carte officielle de la lande de Dartmoor et mon esprit l’a parcourue en tous sens. À cette heure, je me flatte de pouvoir y retrouver mon chemin sans guide.<br/>— Cette carte est donc établie à une grande échelle ?<br/>— Très grande."
"dumas1844cristo","Aussi, pendant les longues journées de bord, quand le navire courant avec sécurité sur cette mer d’azur n’avait besoin, grâce au vent favorable qui gonflait ses voiles, que du secours du timonier, Edmond, une carte marine à la main, se faisait instituteur avec Jacopo comme le pauvre abbé Faria s’était fait instituteur avec lui. Il lui montrait le gisement des côtes, lui expliquait les variations de la boussole, lui apprenait à lire dans ce grand livre ouvert au-dessus de nos têtes, qu’on appelle le ciel, et où Dieu a écrit sur l’azur avec des lettres de diamant."
"dumas1844gabriel","Je me procurai une carte géographique, et je demandai à l’un de nos marins qui avait fait plusieurs voyages en Amérique quelle était la route que suivaient les bâtiments pour se rendre à la Guadeloupe. Il me traça une longue ligne au crayon, et j’eus au moins une consolation, ce fut de voir quel chemin suivait Gabriel en s’éloignant de moi."
"dumas1844trois","Et le cardinal se mit à examiner avec la plus grande attention la carte de La Rochelle, qui, ainsi que nous l’avons dit, était étendue sur son bureau, traçant avec un crayon la ligne où devait passer la fameuse digue qui dix-huit mois plus tard fermait le port de la cité assiégée."
"eco1982rose","Et lui regardait dans le vide avec ses yeux éteints, comme s’il fixait des pages toujours vives dans sa mémoire et il répondait que les faux prophètes sont habillés comme des évêques et que des grenouilles sortent de leur bouche, ou bien qu’elles étaient les pierres qui devaient orner les murs de la Jérusalem céleste, ou que les Arimaspes se doivent figurer dans les cartes géographiques près de la terre du prêtre Jean – recommandant de ne point exagérer en les faisant séduisants dans leur monstruosité, car il suffisait qu’ils fussent représentés de façon emblématique, reconnaissables, mais non désirables, ou repoussants jusqu’au rire."
"egan1995axiomatique","Un jour, j’ai vu mon père consulter un plan de la ville et, en dépit de ma timidité, je lui ai demandé ce que c’était. J’avais vu des globes terrestres et des cartes du pays à l’école, mais pas de plans de ce genre. Il me montra notre maison, mon école, son lieu de travail, à la fois dans les pages qui détaillaient les quartiers, et sur la carte récapitulative qui occupait les pages de garde. À cette époque, tous les guides des rues étaient produits par la même maison d’édition. Chaque famille en avait un. Tous les jours, pendant des semaines, j’ai cassé les pieds à mon père ou à ma mère pour qu’ils me montrent des choses sur la grande carte. Je suis arrivé à en mémoriser une bonne partie. Je savais que j’étais sur la piste de quelque chose d’important – mais l’idée que c’était moi qui me déplaçais de lieu en lieu dans une ville fixe ne m’avait pas encore traversé."
"egan1998radieux","Comme la carte se déployait – la constante remise à l’échelle nécessaire pour qu’elle continue à tenir sur l’écran donnant l’impression troublante que nous nous repliions aussi rapidement que nous le pouvions devant les mathématiques étrangères, et évitions tout juste d’être absorbés –, Alison restait assise, penchée en avant, attendant le spectacle final."
"farnel2017malicieuse","Une fois que les bandes s’étaient formées, elles étaient devenues des continents qui dérivaient sur le planisphère de la cour de récré, des pays qui avaient fini par voir le jour et vous faisaient autant d’étrangers qu’il y avait de frontières."
"feval1860tenebre","Le préfet de police ne prenait pas même la peine de cacher sa mauvaise humeur ; il était un peu jaloux du baron et trouvait malséant que l’on pût préférer à ses troupes éprouvées je ne sais quelles milices venant d’un petit pays qu’il eût couvert avec son pouce sur le planisphère."
"gogh1888theo","Moi je déclare ne pas en savoir quoi que ce soit, mais toujours la vue des étoiles me fait rêver, aussi simplement que me donnent à rêver les points noirs représentant sur la carte géographique villes et villages. Pourquoi me dis-je, les points lumineux du firmament nous seraient-ils moins accessibles que les points noirs sur la carte de France ?
Si nous prenons le train pour nous rendre à Tarascon ou à Rouen, nous prenons la mort pour aller dans une étoile.
Ce qui est certainement vrai dans ce raisonnement, c’est qu’étant en vie, nous ne pouvons pas nous rendre dans une étoile, pas plus qu’étant morts, nous puissions prendre le train."
"goscinny1960nicolas","Nous sommes retournés dans la chambre d’Agnan et là, il m’a montré la mappemonde. C’est une grosse boule en métal, sur laquelle on a peint des mers et des terres. Agnan m’a expliqué que c’était pour apprendre la géographie et où se trouvaient les pays. Ça, je le savais, il y a une mappemonde comme ça à l’école et la maîtresse nous a montré comment ça marche. Agnan m’a dit qu’on pouvait dévisser la mappemonde et alors, ça ressemblait à une grosse balle. Je crois que c’est moi qui ai eu l’idée de jouer avec, ce n’était pas une très bonne idée."
"green2017margo","Impossible de la coicer avec des cartes. Elle était trop petite et l'espace couvert par les cartes, trop grand."
"green2017margo","Je n'arrêtais pas de penser aux cartes, comme je le faisais parfois étant petit, m'imaginant déjà ailleurs ne serait-ce qu'en consultant un atlas. Voilà ce que je devais faire. L'entendre et imaginer comment pénétrer sa carte."
"grossman1980vie","La carte de la guerre, qui était étalée devant le commandant du front à son Q.G. de Krasni Sad, ici grondait et fumait, respirait la vie et la mort. Il croyait reconnaître le pointillé de feu de la première ligne, qu’il avait tracé de sa main ; il croyait reconnaître les flèches des avancées de Paulus vers la Volga, les concentrations des pièces d’artillerie, les centres de la défense qu’il avait entourés de crayons de couleur. Mais quand, dans son Q.G., il regardait la carte étalée sur la table, il se sentait capable d’infléchir, de déplacer la ligne du front, il pouvait obliger l’artillerie lourde sur la rive gauche à se mettre en action. Il s’y sentait le maître."
"grossman1980vie","Les ronds, triangles, losanges devenaient de jour en jour plus nombreux, le réseau de chiffres, les numéros des unités, devenaient de jour en jour plus serrés sur la carte que ne connaissaient que quelques hommes au monde ; c’étaient les nouvelles armées du nouveau groupe d’armées du sud-ouest qui se constituait sur sa base de départ."
"guedj2013theoreme","Il avait déplié une carte immense de l’Amazonie. Une immense étendue verte occupait le lit de Jonathan sur toute sa largeur"
"guedj2013theoreme","Sur quelle carte la route qui menerait au but était-elle tracée ?"
"guez2017disparition","Avellaneda, La Boca, Montserrat, Congreso... une carte dépliée, il se familiarise avec la topographie de Buenos Aires et se sent miniscule devant le damier, une puce insignifiante, lui qui terrorisait tout un royaume il n'y a pas si longtemps."
"harrison1991dalva","Je me suis mise à trembler si fort que je me suis garée près d'un jardin pour regarder ma carte."
"hess1943perles","Ce vieil homme silencieux qui, lorsqu’on le connaissait mieux, pouvait se révéler du tempérament le plus passionné, disposait dans la petite pièce intérieure de la bibliothèque d’une table de travail particulière, toujours couverte de livres, de manuscrits et de cartes géographiques. Dans ce monastère qui possédait des livres sans prix, il avait l’air d’être le seul savant qui travaillât vraiment sérieusement."
"hobb1998assassin","— Loin de Castelcerf ? » répétai-je, abasourdi. J’eus l’impression qu’on ouvrait un rideau. Je n’y avais jamais pensé. Soudain, les routes qui partaient de Castelcerf se mirent à briller dans ma tête et les cartes assommantes que j’avais été obligé d’étudier se remplirent de lieux vivants où je pouvais me rendre. J’en restai confondu."
"houellebecq2010carte","Jed consacra sa vie (du moins sa vie professionnelle, qui devait assez vite se confondre avec l'ensemble de sa vie) à l'art, à la production de représentations du monde, dans lesquelles cependant les gens ne devaient nullement vivre."
"howey2014silo","Plus triste encore, il se voyait lui-même des décennies plus tard, en vieil homme solitaire assis devant cet écran gris, à dessiner non des cartes du ciel mais des paysages."
"howey2014silo","C'était l'homme qui aimait tant cartographier les étoiles qui en était touché."
"howey2014silo","Ils se tenaient tous devant une carte géante tendue au mur comme une tapisserie. Les diagrammes étaient précis, les caractères ornés. On y voyait une série de cercles espacés de façon régulière, séparés par des lignes et remplis de petits détails. Plusieurs d'entre eux étaient barrés de croix rouges."
"hugo1906quatre","Quand il fut sur le sommet, il s’adossa à la pierre milliaire, s’assit sur une des quatre bornes qui en marquaient les angles, et se mit à examiner l’espèce de carte de géographie qu’il avait sous les pieds. Il semblait chercher une route dans un pays d’ailleurs connu. Dans ce vaste paysage, trouble à cause du crépuscule, il n’y avait de précis que l’horizon, noir sur le ciel blanc."
"jaccaud2013nuit","Lucie observait la carte digitale projetée par l'appareil sur le pare-brise ; comme un réseau sanguin tiré d'une image composée par Bourgery. L'un des vingt-quatre satellites qui constituaient le maillage de l'observation globale de la planète relayait les informations dans le GPS avec une autorité que personne n'osait plus contester. Les principaux axes, les routes, les rues et les ruelles s'affichaient en bleu, rouge ou vert suivant l'importance de la saturation."
"jardin1995ile","A en croire le capitaine Renard, une île singulière gisait dans l'hémisphère sud, entre 22°15 et 22°17 de la latitude sud et sur une longitude qu'il est encore prudent de taire."
"jardin1995ile","Cependant, accoudée à la nacelle, Emily se demandait en quoi pouvait bien ressembler ce petit monde de gens réconciliés avec une certaine idée du bonheur accessible, ce territoire mythique absent des cartes, si éloigné de notre Europe qui ne croyait qu'en l'effort, aux beautés du désespoir, à la fatalité de la souffrance et de l'échec amoureux."
"kafka2002lettre","Il m'arrive d'imaginer la carte de la Terre déployée et de t'imaginer étendu transversalement sur toute sa surface."
"kant1781raison","Avant, toutefois, de nous risquer sur cette mer pour l’explorer dans toutes ses dimensions et nous assurer qu’il s’y trouve quelque chose à espérer, il nous sera utile de jeter encore un coup d’œil sur la carte du pays que nous allons quitter, et de nous demander, en premier lieu, si en tout état de cause nous ne pourrions-nous satisfaire de ce qu’il contient, ou même s’il ne faut point, par nécessité, nous en satisfaire, au cas où ne se trouverait nulle part ailleurs aucun sol sur lequel il nous fût possible de nous établir ; ensuite, nous nous demanderons à quel titre nous-mêmes possédons ce pays et parvenons à nous y maintenir contre toutes les prétentions ennemies."
"kessel1955rubis","Les grands voyages ont ceci de merveilleux que leur enchantement commence avant le départ même. On ouvre les atlas, on rêve sur les cartes. On répète les noms magnifiques des villes inconnues."
"kessel1955rubis","Les grands voyages ont ceci de merveilleux que leur enchantement commence avant le départ même. On ouvre les atlas, on rêve sur les cartes. On répète les noms magnifiques des villes inconnues..."
"klee1959journal","Deux lettres et deux cartes sont en route vers le Nord qui ne supposent point de réponse."
